name,id,tournament_id,prizemoney,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2,hidden,s-tier
Nili's Apartment Cup 1,163,6,2500.0,Group Stage,1,25,Liereyy,2398,2,29,TheViper,2379,4,False,True
Nili's Apartment Cup 1,164,6,2500.0,Group Stage,1,31,TaToH,2369,4,30,JorDan_23,2312,2,False,True
Nili's Apartment Cup 1,165,6,2500.0,Group Stage,1,30,JorDan_23,2312,0,25,Liereyy,2398,4,False,True
Nili's Apartment Cup 1,166,6,2500.0,Group Stage,1,29,TheViper,2379,4,1,DauT,2286,1,False,True
Nili's Apartment Cup 1,167,6,2500.0,Group Stage,1,24,MbL,2264,4,31,TaToH,2369,2,False,True
Nili's Apartment Cup 1,168,6,2500.0,Group Stage,1,1,DauT,2286,1,30,JorDan_23,2312,4,False,True
Nili's Apartment Cup 1,169,6,2500.0,Group Stage,1,31,TaToH,2369,2,25,Liereyy,2398,4,False,True
Nili's Apartment Cup 1,170,6,2500.0,Group Stage,1,24,MbL,2264,4,29,TheViper,2379,3,False,True
WSVG Finals,185,19,10000.0,Group Stage,1,29,TheViper,2379,4,14,ACCM,2332,2,False,False
WSVG Finals,186,19,10000.0,Group Stage,1,4,dogao,2231,4,15,saymyname,2071,1,False,False
WSVG Finals,187,19,10000.0,Group Stage,1,29,TheViper,2379,4,15,saymyname,2071,0,False,False
WSVG Finals,188,19,10000.0,Group Stage,1,4,dogao,2231,4,14,ACCM,2332,2,False,False
WSVG Finals,189,19,10000.0,Group Stage,1,29,TheViper,2379,4,4,dogao,2231,0,False,False
WSVG Finals,190,19,10000.0,Group Stage,1,19,Yo,2354,4,54,yinghua,2023,2,False,False
WSVG Finals,191,19,10000.0,Group Stage,1,1,DauT,2286,4,31,TaToH,2369,1,False,False
WSVG Finals,192,19,10000.0,Group Stage,1,19,Yo,2354,4,31,TaToH,2369,2,False,False
WSVG Finals,193,19,10000.0,Group Stage,1,1,DauT,2286,2,54,yinghua,2023,4,False,False
WSVG Finals,194,19,10000.0,Group Stage,1,19,Yo,2354,4,1,DauT,2286,1,False,False
WSVG Finals,195,19,10000.0,Group Stage,1,31,TaToH,2369,1,54,yinghua,2023,4,False,False
WSVG Finals,196,19,10000.0,Group Stage,1,3,RiuT,2155,4,56,8th_wonder,1998,1,False,False
WSVG Finals,197,19,10000.0,Group Stage,1,58,Lojza,2073,4,80,Juan,2033,2,False,False
WSVG Finals,198,19,10000.0,Group Stage,1,3,RiuT,2155,4,80,Juan,2033,0,False,False
WSVG Finals,199,19,10000.0,Group Stage,1,58,Lojza,2073,4,56,8th_wonder,1998,0,False,False
WSVG Finals,200,19,10000.0,Group Stage,1,3,RiuT,2155,4,58,Lojza,2073,1,False,False
WSVG Finals,201,19,10000.0,Group Stage,1,30,JorDan_23,2312,4,82,WraTh_,2045,3,False,False
WSVG Finals,202,19,10000.0,Group Stage,1,16,BacT,2129,4,6,mentalist,2029,2,False,False
WSVG Finals,203,19,10000.0,Group Stage,1,30,JorDan_23,2312,4,6,mentalist,2029,0,False,False
WSVG Finals,204,19,10000.0,Group Stage,1,16,BacT,2129,4,82,WraTh_,2045,1,False,False
WSVG Finals,205,19,10000.0,Group Stage,1,30,JorDan_23,2312,4,16,BacT,2129,2,False,False
WSVG Playoffs,206,21,0.0,Group Stage,1,17,CooL,1995,2,80,Juan,2033,4,False,False
WSVG Playoffs,207,21,0.0,Group Stage,1,80,Juan,2033,4,50,Zuppi,2089,1,False,False
