User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
Yezris,,Czechia,,Inactive,2009-20152020-2021,,,$212,Age of Empires II(inactive),1991(current)1991(highest),"['https://steamcommunity.com/profiles/76561198001853909', 'https://aoezone.net/members/yezris.10377']",,
Faraday,Elias do Carmo Dias,Brazil,,Active,2018 - Present,The BrotherHood Kappa,,$121,Age of Empires IIAge of Empires IV(inactive)Age of Mythology(inactive),,"['https://steamcommunity.com/profiles/76561198396796451', 'https://www.twitch.tv/faradayaoe', 'https://aoezone.net/members/faraday.76559']",,1991(highest)
